CHJO 500 A1 SA.B500EAST_____1VP.VM,CHJO 500 A1 SA.B500EAST_____1VP.VA,CHJO 500 A1 SA.B500EAST_____1VA.VM,CHJO 500 A1 SA.B500EAST_____1VA.VA,CHJO 500 A1 SA.B500EAST_____1VB.VM,CHJO 500 A1 SA.B500EAST_____1VB.VA,CHJO 500 A1 SA.B500EAST_____1VC.VM,CHJO 500 A1 SA.B500EAST_____1VC.VA,CHJO 500 A1 SA.B500WEST_____1VP.VM,CHJO 500 A1 SA.B500WEST_____1VP.VA,CHJO 500 A1 SA.B500WEST_____1VA.VM,CHJO 500 A1 SA.B500WEST_____1VA.VA,CHJO 500 A1 SA.B500WEST_____1VB.VM,CHJO 500 A1 SA.B500WEST_____1VB.VA,CHJO 500 A1 SA.B500WEST_____1VC.VM,CHJO 500 A1 SA.B500WEST_____1VC.VA,CHJO 500 A1 SA.T500BANK3____1IP.IM,CHJO 500 A1 SA.T500BANK3____1IP.IA,CHJO 500 A1 SA.L500G_COULEE_3IP.IM,CHJO 500 A1 SA.L500G_COULEE_3IP.IA,CHJO 500 A1 SA.L500CHFJO_PH_5IP.IM,CHJO 500 A1 SA.L500CHFJO_PH_5IP.IA,CHJO 500 A1 SA.L500SICKLER__1IP.IM,CHJO 500 A1 SA.L500SICKLER__1IP.IA,CHJO 500 A1 SA.L500CHFJO_PH_6IP.IM,CHJO 500 A1 SA.L500CHFJO_PH_6IP.IA,CHJO 500 A1 SA.L500MONROE___1IP.IM,CHJO 500 A1 SA.L500MONROE___1IP.IA
312636.9688,79.63512897,312070.1875,79.75521052,313452.8125,-40.39937024,312388.9688,-160.4447773,312660,79.62993119,312403.1563,79.69064474,313483.4375,-40.37469618,312093.5938,-160.4207896,470.4998474,-70.4017514,136.2565613,-132.1160759,200.8072968,-97.85064926,451.5119934,93.15751017,597.6647339,-96.08733347,889.1407471,86.28143578
312640.0313,79.4011745,312074.5313,79.52119458,313454.1875,-40.63291832,312392.4688,-160.6789435,312663.5313,79.39633189,312410.4688,79.45700446,313482.625,-40.60839794,312097.8125,-160.6540952,470.6530762,-70.62586357,136.1725769,-132.4295816,200.8238373,-98.08042365,451.4388123,92.91227905,597.6610718,-96.31710786,889.0740967,86.04673682
312640.8125,79.16719271,312074.4688,79.28694641,313455.9063,-40.86685571,312393.1875,-160.9126179,312664.4375,79.16224765,312414.125,79.22246943,313484.4688,-40.84237973,312094.9375,-160.887715,470.7402344,-70.86149826,136.1432953,-132.7323092,200.8082275,-98.32121514,451.4732666,92.67506658,597.7077637,-96.54494248,888.8846436,85.81798013
312644.3125,78.93299235,312076.8438,79.05219964,313462.5,-41.10092971,312394.4063,-161.146306,312665.5,78.92761016,312413.9688,78.98738115,313491.5,-41.07664156,312091.3438,-161.1221954,470.8324585,-71.10649032,136.1336365,-133.0431238,200.77565,-98.55784021,451.6022644,92.4477374,597.7485352,-96.7728659,888.6365356,85.58998841
312648.9375,78.6979792,312080.7188,78.8167357,313469.9063,-41.33537254,312397.2188,-161.3814284,312668.2813,78.69231014,312412.4688,78.75180792,313499,-41.31153176,312093.6563,-161.357632,470.9604187,-71.34814241,136.1315308,-133.3727624,200.7607269,-98.77871487,451.6743774,92.21426787,597.7318726,-97.0027564,888.430481,85.3582196
312651,78.46205764,312082.125,78.5808961,313473.9063,-41.57072036,312398.0313,-161.6180398,312672.3438,78.45653201,312413.0938,78.51583855,313504,-41.54700595,312100.375,-161.5935331,471.0578613,-71.58019809,136.160553,-133.71475,200.7668762,-98.99055319,451.6060181,91.97272506,597.6728516,-97.23335725,888.3346558,85.12284446
312652.8125,78.22566479,312084.9063,78.34466035,313477.625,-41.80689123,312396.8125,-161.8549245,312677.5,78.22052166,312417.9688,78.27958913,313508.7188,-41.78297532,312106,-161.8294615,471.1101685,-71.80842203,136.1429749,-134.0632945,200.7893524,-99.21312173,451.5019226,91.73502082,597.6450195,-97.46276964,888.2733765,84.88474406
312657.625,77.98986617,312090.5625,78.10897784,313483.0625,-42.04278547,312400.3438,-162.0909075,312683.625,77.98495526,312426.4063,78.04412519,313513.2813,-42.0188764,312111.4063,-162.0649664,471.164856,-72.03511601,136.0764618,-134.3956652,200.8030853,-99.4470762,451.4994812,91.50252801,597.6808472,-97.69039936,888.1511841,84.64667782
312663.9688,77.75548823,312097,77.87477748,313484.5938,-42.27753908,312411.4375,-162.3253469,312688.6875,77.75053634,312434.25,77.81009559,313514,-42.25391345,312118.1875,-162.2993922,471.2280579,-72.26390685,135.9944611,-134.6901147,200.7742462,-99.67814833,451.5348816,91.26920192,597.7219849,-97.91665621,887.9564819,84.41268237
312667,77.52180697,312102.2188,77.64106207,313479.1875,-42.51171211,312420.5313,-162.5588574,312689.5313,77.51677312,312437.5,77.57655093,313508.9063,-42.48813088,312122.4063,-162.5332169,471.2788696,-72.50005381,135.8758392,-134.9592105,200.7218781,-99.90299133,451.4781189,91.03060292,597.7061157,-98.14424494,887.7415161,84.18240937
